TIMESTAMP,Obs_3hr,rated_3hr,nowcast_3hr,dayahead_3hr
29-Apr-2017 15:00:00,223.595,811.2,152.905833333333,142.383333333333
29-Apr-2017 18:00:00,460.129166666667,811.2,351.089166666667,281.809166666667
29-Apr-2017 21:00:00,386.386666666667,811.2,441.979166666667,380.238333333333
30-Apr-2017 00:00:00,494.443333333333,811.2,541.794166666667,484.503333333333
30-Apr-2017 03:00:00,590.555,811.2,591.72,549.4075
30-Apr-2017 06:00:00,659.6125,811.2,588.446666666667,559.650833333333
30-Apr-2017 09:00:00,742.688333333333,811.2,621.466666666667,570.401666666667
30-Apr-2017 12:00:00,545.945833333333,811.2,515.645833333333,465.701666666667
30-Apr-2017 15:00:00,298.355,811.2,538.17,360.103333333333
30-Apr-2017 18:00:00,282.153333333333,811.2,558.8025,416.701666666667
30-Apr-2017 21:00:00,692.776666666667,811.2,618.803333333333,665.359166666667
01-May-2017 00:00:00,309.496666666667,811.2,411.98,520.915833333333
01-May-2017 03:00:00,361.794166666667,811.2,421.164166666667,495.795
01-May-2017 06:00:00,467.134166666667,811.2,527.990833333333,460.370833333333
01-May-2017 09:00:00,433.959166666667,811.2,380.285,311.421666666667
01-May-2017 12:00:00,237.839166666667,811.2,225.034166666667,153.859166666667
01-May-2017 15:00:00,99.2091666666667,811.2,69.7866666666667,84.7366666666667
01-May-2017 18:00:00,19.5283333333333,811.2,42.8708333333333,82.0366666666667
01-May-2017 21:00:00,82.1033333333333,811.2,115.379166666667,118.861666666667
02-May-2017 00:00:00,45.1225,811.2,88.7,80.23
02-May-2017 03:00:00,7.28916666666667,811.2,16.7666666666667,18.2483333333333
02-May-2017 06:00:00,10.8416666666667,811.2,17.3733333333333,12.2416666666667
02-May-2017 09:00:00,106.56,811.2,81.6425,36.5316666666667
02-May-2017 12:00:00,81.8891666666667,811.2,126.768333333333,58.9866666666667
02-May-2017 15:00:00,40.9766666666667,811.2,93.0566666666667,124.615833333333
02-May-2017 18:00:00,47.1491666666667,811.2,142.225833333333,214.973333333333
02-May-2017 21:00:00,112.5725,811.2,164.845833333333,190.2125
03-May-2017 00:00:00,78.9941666666667,811.2,130.295833333333,154.273333333333
03-May-2017 03:00:00,159.341666666667,811.2,177.35,191.9775
03-May-2017 06:00:00,206.564166666667,811.2,202.611666666667,197.275833333333
03-May-2017 09:00:00,170.595,811.2,170.181666666667,161.35
03-May-2017 12:00:00,193.458333333333,811.2,199.7625,169.5925
03-May-2017 15:00:00,221.015,811.2,219.486666666667,235.3975
03-May-2017 18:00:00,193.530833333333,811.2,269.823333333333,305.073333333333
03-May-2017 21:00:00,376.955833333333,811.2,410.996666666667,380.375
04-May-2017 00:00:00,171.341666666667,811.2,344.019166666667,406.175
04-May-2017 03:00:00,142.6125,811.2,271.091666666667,417.620833333333
04-May-2017 06:00:00,343.870833333333,811.2,412.161666666667,449.71
04-May-2017 09:00:00,361.663333333333,811.2,424.468333333333,460.3
04-May-2017 12:00:00,483.424166666667,811.2,477.385,526.8575
04-May-2017 15:00:00,622.625833333333,811.2,601.135833333333,598.495833333333
04-May-2017 18:00:00,585.015833333333,811.2,599.996666666667,580.869166666667
04-May-2017 21:00:00,447.048333333333,811.2,503.03,499.175833333333
05-May-2017 00:00:00,612.68,811.2,496.595833333333,490.88
05-May-2017 03:00:00,661.039166666667,811.2,579.1825,490.201666666667
05-May-2017 06:00:00,508.22,811.2,521.048333333333,422.898333333333
05-May-2017 09:00:00,400.103333333333,811.2,369.52,297.194166666667
05-May-2017 12:00:00,197.905833333333,811.2,232.428333333333,297.5275
05-May-2017 15:00:00,204.229166666667,811.2,186.5925,301.485
05-May-2017 18:00:00,213.048333333333,811.2,212.968333333333,281.6325
05-May-2017 21:00:00,326.045833333333,811.2,292.511666666667,307.890833333333
06-May-2017 00:00:00,369.564166666667,811.2,366.438333333333,352.054166666667
06-May-2017 03:00:00,351.704166666667,811.2,417.380833333333,419.745
06-May-2017 06:00:00,273.9275,811.2,398.241666666667,435.128333333333
06-May-2017 09:00:00,284.725,811.2,349.255,429.9675
06-May-2017 12:00:00,565.665833333333,811.2,575.525,570.995833333333
06-May-2017 15:00:00,578.9225,811.2,637.624166666667,618.290833333333
06-May-2017 18:00:00,565.813333333333,811.2,518.486666666667,525.048333333333
06-May-2017 21:00:00,460.580833333333,811.2,371.205833333333,391.249166666667
07-May-2017 00:00:00,456.363333333333,811.2,271.641666666667,301.6125
07-May-2017 03:00:00,443.726666666667,811.2,358.490833333333,322.371666666667
07-May-2017 06:00:00,303.258333333333,811.2,349.3375,313.81
07-May-2017 09:00:00,148.183333333333,811.2,156.346666666667,213.081666666667
07-May-2017 12:00:00,223.3725,811.2,202.905833333333,246.605833333333
07-May-2017 15:00:00,443.180833333333,811.2,395.794166666667,401.806666666667
07-May-2017 18:00:00,526.593333333333,811.2,477.611666666667,516.528333333333
07-May-2017 21:00:00,463.315833333333,811.2,433.996666666667,448.368333333333
08-May-2017 00:00:00,508.4775,811.2,439.994166666667,444.19
08-May-2017 03:00:00,511.559166666667,811.2,494.888333333333,498.278333333333
08-May-2017 06:00:00,557.610833333333,811.2,472.02,521.425833333333
08-May-2017 09:00:00,696.843333333333,811.2,586.285,567.655833333333
08-May-2017 12:00:00,657.556666666667,811.2,613.235833333333,637.675833333333
08-May-2017 15:00:00,706.5325,811.2,600.990833333333,615.283333333333
08-May-2017 18:00:00,601.9325,811.2,517.26,496.380833333333
08-May-2017 21:00:00,316.9875,811.2,277.535833333333,263.3625
09-May-2017 00:00:00,129.27,811.2,93.4966666666667,88.5633333333333
09-May-2017 03:00:00,47.7091666666667,811.2,55.8566666666667,54.5466666666667
09-May-2017 06:00:00,29.9216666666667,811.2,36.8833333333333,47.4125
